COMPLAINT ID,COMPLAINT TYPE,ADDRESS,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,DATA SOURCE,RESOLUTION,RESOLVED DATE,LATITUDE,LONGITUDE,LOCATION
601476680,Construction and Demolition,451 W HURON ST,451,,W,HURON,ST,379542,2023-11-30T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Resolved,2023-12-04T00:00:00Z,41.8946027055,-87.64049614903,POINT (-87.640496149034 41.894602705495)
601323921,Asbestos Work Order,7145 S HERMITAGE AVE,7145,,S,HERMITAGE,AVE,379542,2023-03-23T00:00:00Z,not sure if this is the right request. owner has asbestos tile and is wondering about any potential programs/help for abating tile,DEPT. OF PUBLIC HEALTH,Resolved,2023-03-27T00:00:00Z,41.76353846885,-87.66727739404,POINT (-87.667277394043 41.763538468853)
601412353,Air Pollution Work Order,2701 E 100TH ST,2701,,E,100TH,ST,10937,2023-08-09T00:00:00Z,"While driving east on 100th Street , just past the railroad tracks, my wife and I detected the foul smell of rotten eggs or worse emanating from the plant",DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-08-11T00:00:00Z,41.71324291275,-87.55803846898,POINT (-87.558038468978 41.713242912752)
601299487,Construction and Demolition,3119 N RACINE AVE,3119,,N,RACINE,AVE,425726,2023-01-26T00:00:00Z,"The summary of the issue is attached in a PDF. We also have support emails, text, photos and videos documenting the situation and can send upon request. Thank you!&nbsp;",DEPT. OF PUBLIC HEALTH,Resolved,2023-01-27T00:00:00Z,41.93859439624,-87.65877701804,POINT (-87.658777018039 41.938594396244)
601422939,Air Pollution Work Order,3937 N SAYRE AVE,3937,,N,SAYRE,AVE,417337,2023-08-27T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Resolved,2023-08-28T00:00:00Z,41.95197177153,-87.80095695804,POINT (-87.80095695804 41.951971771526)
601307046,Air Pollution Work Order,5154 N KEELER AVE,5154,,N,KEELER,AVE,249349,2023-02-16T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-02-17T00:00:00Z,41.97527305171,-87.73331390703,POINT (-87.733313907035 41.975273051705)
601464418,Air Pollution Work Order,2701 E 100TH ST,2701,,E,100TH,ST,10937,2023-11-02T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-11-02T00:00:00Z,41.71324291275,-87.55803846898,POINT (-87.558038468978 41.713242912752)
601461246,Noise Complaint,750 N ORLEANS ST,750,,N,ORLEANS,ST,437489,2023-10-26T00:00:00Z,Rooftop cooling tower emits a consistent drowning hum from across the alleyway into neighboring condominium units and balcony spaces. Phone application measures 75+ dB and the noise is far beyond a conversational level.,DEPT. OF PUBLIC HEALTH,Resolved,2024-06-14T00:00:00Z,41.89629265479,-87.63731316709,POINT (-87.637313167087 41.896292654788)
601401746,Air Pollution Work Order,3636 W 61ST ST,3636,,W,61ST,ST,249349,2023-07-24T00:00:00Z,Open burning in the back of house for a week.,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-07-25T00:00:00Z,41.78253561956,-87.71467471563,POINT (-87.714674715626 41.782535619557)
601316503,Air Pollution Work Order,4813 S KEELER AVE,4813,,S,KEELER,AVE,10937,2023-03-09T00:00:00Z,quemical smell in the air coming inside apartment,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-03-10T00:00:00Z,41.80555074246,-87.72826830753,POINT (-87.728268307534 41.805550742463)
601463016,Air Pollution Work Order,1810 N KILBOURN AVE,1810,,N,KILBOURN,AVE,10937,2023-10-31T00:00:00Z,I ride Metra and often observe open burning of material in the back lot of this business. Residences and School nearby.,DEPT. OF PUBLIC HEALTH,Alleged violation founded,2023-10-31T00:00:00Z,41.91431404389,-87.73889083418,POINT (-87.738890834178 41.914314043887)
601397245,Air Pollution Work Order,4837 S KEDZIE AVE,4837,,S,KEDZIE,AVE,417337,2023-07-17T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-07-17T00:00:00Z,41.80518651456,-87.70374424459,POINT (-87.703744244589 41.805186514563)
601290353,Air Pollution Work Order,2220 W 37TH ST,2220,,W,37TH,ST,425726,2023-01-01T00:00:00Z,"reported fir oct 22, 2022",DEPT. OF PUBLIC HEALTH,Resolved,2023-01-04T00:00:00Z,41.82678868839,-87.68100126353,POINT (-87.681001263527 41.826788688394)
601356662,Noise Complaint,1540 W FULLERTON AVE,1540,,W,FULLERTON,AVE,417325,2023-05-15T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-05-16T00:00:00Z,41.92527083003,-87.66742133245,POINT (-87.667421332445 41.925270830034)
601399719,Air Pollution Work Order,3051 W 48TH PL,3051,,W,48TH,PL,417337,2023-07-20T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Resolved,2023-07-17T00:00:00Z,41.80509480079,-87.70101245268,POINT (-87.701012452685 41.805094800795)
601298981,Air Pollution Work Order,2520 W WASHINGTON BLVD,2520,,W,WASHINGTON,BLVD,249349,2023-01-25T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-01-26T00:00:00Z,41.88308668486,-87.68938219426,POINT (-87.689382194258 41.883086684859)
601299850,Noise Complaint,9248 S PRAIRIE AVE,9248,,S,PRAIRIE,AVE,129151,2023-01-28T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation unfounded,2023-01-30T00:00:00Z,41.72585799316,-87.61802236191,POINT (-87.618022361908 41.725857993161)
601460708,Air Pollution Work Order,2701 E 100TH ST,2701,,E,100TH,ST,10937,2023-10-25T00:00:00Z,caller states that it smells like decaying animals,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-10-30T00:00:00Z,41.71324291275,-87.55803846898,POINT (-87.558038468978 41.713242912752)
601454710,Water Pollution,2028 W RACE AVE,2028,,W,RACE,AVE,84397,2023-10-13T00:00:00Z,"Green substance unsure if it’s toxic, smells chemical and scary. Doesn’t smell like antifreeze",DEPT. OF PUBLIC HEALTH,Resolved,2023-10-16T00:00:00Z,41.89163589231,-87.6781152753,POINT (-87.678115275305 41.891635892314)
