COMPLAINT ID,COMPLAINT TYPE,ADDRESS,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,DATA SOURCE,RESOLUTION,RESOLVED DATE,complaint_lat,complaint_lon,LOCATION,Property Name,Address,ZIP Code,Primary Property Type,ENERGY STAR Score,Total GHG Emissions (Metric Tons CO2e),energy_lat,energy_lon
601476680,Construction and Demolition,451 W HURON ST,451,,W,HURON,ST,379542,2023-11-30T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Resolved,2023-12-04T00:00:00Z,41.8946027055,-87.64049614903,POINT (-87.640496149034 41.894602705495),4600 N WINCHESTER,4600 N WINCHESTER AVE,60640,MULTIFAMILY HOUSING,24.0,398.6,41.894603,-87.640496
601461246,Noise Complaint,750 N ORLEANS ST,750,,N,ORLEANS,ST,437489,2023-10-26T00:00:00Z,Rooftop cooling tower emits a consistent drowning hum from across the alleyway into neighboring condominium units and balcony spaces. Phone application measures 75+ dB and the noise is far beyond a conversational level.,DEPT. OF PUBLIC HEALTH,Resolved,2024-06-14T00:00:00Z,41.89629265479,-87.63731316709,POINT (-87.637313167087 41.896292654788),PARKER AT FULTON MARKET,730 W COUCH PL,60661,MULTIFAMILY HOUSING,57.0,1551.0,41.895663,-87.637221
601461246,Noise Complaint,750 N ORLEANS ST,750,,N,ORLEANS,ST,437489,2023-10-26T00:00:00Z,Rooftop cooling tower emits a consistent drowning hum from across the alleyway into neighboring condominium units and balcony spaces. Phone application measures 75+ dB and the noise is far beyond a conversational level.,DEPT. OF PUBLIC HEALTH,Resolved,2024-06-14T00:00:00Z,41.89629265479,-87.63731316709,POINT (-87.637313167087 41.896292654788),RUIZ,2410 S LEAVITT ST,60608,K-12 SCHOOL,15.0,583.7,41.896293,-87.637313
601410207,Air Pollution Work Order,5835 N SHERIDAN RD,5835,,N,SHERIDAN,RD,417337,2023-08-06T00:00:00Z,I’ve complained to management,DEPT. OF PUBLIC HEALTH,Refer to Building Dept,2023-08-07T00:00:00Z,41.98836546854,-87.65518764654,POINT (-87.655187646542 41.988365468544),KENWOOD HS,5015 S BLACKSTONE AVE,60615,K-12 SCHOOL,23.0,2187.5,41.987828,-87.655171
601306037,Noise Complaint,680 S FEDERAL ST,680,,S,FEDERAL,ST,417325,2023-02-15T00:00:00Z,: Digital Realty’s ground equipment is running 24 hrs 7 days a week and noise filters into my apartment disrupting my sleep,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-02-15T00:00:00Z,41.87341637357,-87.62977671782,POINT (-87.629776717815 41.873416373566),"03181AS - CHICAGO, IL",87 W 87TH STREET,60620,SUPERMARKET/GROCERY STORE,45.0,1860.6,41.873033,-87.630486
601378494,Noise Complaint,717 S WELLS ST,717,,S,WELLS,ST,417325,2023-06-16T00:00:00Z,The noise is starting even earlier (6:30am) and now and there is an additional form of compressor or reciprocating engine noise in addition to an exhaust note and loud fan noise&nbsp;,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-06-16T00:00:00Z,41.87296747272,-87.63344780864,POINT (-87.633447808641 41.872967472716),6101 NORTH CLARK,6101 NORTH CLARK STREET,60660,MULTIFAMILY HOUSING,,218.0,41.873256,-87.633454
601378494,Noise Complaint,717 S WELLS ST,717,,S,WELLS,ST,417325,2023-06-16T00:00:00Z,The noise is starting even earlier (6:30am) and now and there is an additional form of compressor or reciprocating engine noise in addition to an exhaust note and loud fan noise&nbsp;,DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-06-16T00:00:00Z,41.87296747272,-87.63344780864,POINT (-87.633447808641 41.872967472716),"1547 CSR-CHICAGO WELLS, LLC",725 S WELLS,60607,DATA CENTER,,1620.0,41.872586,-87.633252
601473955,Air Pollution Work Order,7530 S CONSTANCE AVE,7530,,S,CONSTANCE,AVE,10937,2023-11-23T00:00:00Z,,DEPT. OF PUBLIC HEALTH,Alleged violation not found,2023-11-24T00:00:00Z,41.75789563862,-87.57993840779,POINT (-87.579938407789 41.757895638623),JUDGE HARRY M FISHER APARTMENTS,5821 N BROADWAY STREET,60660,MULTIFAMILY HOUSING,73.0,910.8,41.757956,-87.579646
601377225,Noise Complaint,600 S FEDERAL ST,600,,S,FEDERAL,ST,417325,2023-06-15T00:00:00Z,"One or more of the air conditioning compressors is making a consistent high pitched, whistling noise. It sounds as if an alarm is always sounding 24/7.",DEPT. OF PUBLIC HEALTH,Complaint Valid,2023-06-15T00:00:00Z,41.87447214941,-87.62981321502,POINT (-87.629813215024 41.874472149412),100 BELLEVUE PLACE,100 EAST BELLEVUE PLACE,60611,MULTIFAMILY HOUSING,95.0,1563.1,41.874472,-87.629813
601346905,Noise Complaint,680 S FEDERAL ST,680,,S,FEDERAL,ST,129151,2023-04-28T00:00:00Z,Noise occurs 24 hours 7 days a week. The noise is coming from the fans next to the silver unit as shown in the pictures. Fans need noise canceling barrier or encasement to contain the noise from filtering out.&nbsp;,DEPT. OF PUBLIC HEALTH,Resolved,2023-05-01T00:00:00Z,41.87341637357,-87.62977671782,POINT (-87.629776717815 41.873416373566),"03181AS - CHICAGO, IL",87 W 87TH STREET,60620,SUPERMARKET/GROCERY STORE,45.0,1860.6,41.873033,-87.630486
